RowLabels,y,COL+GPAT_CO_AT+ENV_PAT,COL+GPAT_CO_PR+ENV_PAT,COL+GPAT_CO_PR+TOT,DEV+GPAT_DE_AI+ENV_PAT,DEV+GPAT_DE_AT+ENV_PAT,DEV+GPAT_DE_CAP+ENV_PAT,DEV+GPAT_DE_GBAORD+ENV_PAT,DEV+GPAT_DE_PERC+BUILD,DEV+GPAT_DE_PERC+ENE,DEV+GPAT_DE_PERC+GHG,DEV+GPAT_DE_PERC+GOODS,DEV+GPAT_DE_PERC+ICT,DEV+GPAT_DE_PERC+MAN,DEV+GPAT_DE_PERC+TRA,DEV+GPAT_DE_PERC+WAT,DEV+GPAT_DE_PERC+WAT_WASTE,DIFF+GPAT_DI_AI+ENV_PAT,DIFF+GPAT_DI_AT+ENV_PAT,DIFF+GPAT_DI_PERC+BUILD,DIFF+GPAT_DI_PERC+ENE,DIFF+GPAT_DI_PERC+GHG,DIFF+GPAT_DI_PERC+GOODS,DIFF+GPAT_DI_PERC+ICT,DIFF+GPAT_DI_PERC+MAN,DIFF+GPAT_DI_PERC+TRA,DIFF+GPAT_DI_PERC+WAT,DIFF+GPAT_DI_PERC+WAT_WASTE,RENEW+GPAT_DE_RERD+ENV_PAT
LUX2014,86459.21,0,0,97.18,0.04,14.22,25.25,0.82,0,23.07,0,16.94,0,48.45,4.61,4.61,2.31,0.01,7.82,9.68,12.9,,19.35,,45.16,9.68,3.23,,
LUX2015,87906.90,11,9.02,91,0.03,9.39,19.41,1.05,4,23.33,0,10,0,46.34,8.32,2,6,0.02,9.52,5.41,43.24,,13.51,,24.32,8.11,,5.41,
LUX2016,88080.45,12.22,9.02,78.3,0.04,10.96,23.88,1.27,0,16.79,0,11.75,0,58.85,12.61,0,0,0.01,6.02,,11.54,,19.23,,42.31,15.38,3.85,7.69,
LVA2008,20629.36,13.33,1.12,13.65,0.01,6.55,1.15,,0,27.27,0,0,,36.36,0,0,36.36,0.02,14.57,,37.04,,11.11,,37.04,,,14.81,
LVA2009,17876.35,9.46,1.12,16.28,0.03,17.96,4.58,,0,29.85,0,15.59,,46.77,0,0,7.79,0.02,11.21,3.23,38.71,,12.9,,35.48,,,9.68,
LVA2010,17381.99,9.09,1.08,21.12,0,2.93,0.47,,0,0,0,0,,50,0,0,50,0.01,10.71,4,24,,12,,52,,,8,
LVA2011,18714.16,14.69,4.2,27.17,0.01,7.5,1.55,,0,26.67,0,6.67,,60,0,0,6.67,0.02,15.7,,33.33,,3.33,,60,,,3.33,
LVA2012,19700.64,11.52,3.04,26.4,0.01,11.95,2.17,,0,18.18,0,27.27,,36.36,18.18,0,0,0.01,9.52,,28.57,,4.76,,42.86,4.76,,19.05,
LVA2013,20416.75,10.16,1,22.14,0.02,14.52,2.93,,0,44.44,,0,,33.33,0,0,22.22,0.01,8.14,,44,,8,,32,,,16,
LVA2014,21040.38,10.71,4.05,19.32,0.01,14.51,1.48,,0,25,,25,,50,0,,0,0,7.14,,71.43,,14.29,,14.29,,,,
LVA2015,21921.00,8.22,2.04,20.44,0.01,10.28,1.25,,0,0,,42.86,,57.14,0,,0,0.01,9.85,,41.18,,5.88,,41.18,,,11.76,
LVA2016,22638.80,15.91,2.1,20.24,0,0,0,,0,0,,0,,0,0,,0,0.01,14.56,,41.18,,5.88,,41.18,,,11.76,
MEX2008,15781.14,11.32,14.03,156.31,0.13,13.44,0.33,0.04,14.15,19.55,1.97,12.77,3.03,34.39,4.32,5.9,3.93,1.61,10.26,3.97,21.29,2.66,18.67,3.79,34.09,3.54,5.5,6.49,
MEX2009,14727.88,11.11,17.36,141.12,0.08,8.61,0.22,0.03,10.05,29.65,1.92,6.23,0,37.8,8.61,5.74,0,1.64,10.89,3.39,24.62,3.23,16.08,2.88,32.44,4.59,5.63,7.15,
MEX2010,15260.62,13.23,22.33,157.14,0.14,15.2,0.43,0.04,2.85,16.33,2.85,19.82,0.71,40.84,2.38,4.98,9.25,1.61,12,5.39,23.98,2.07,16.36,1.95,30.74,7.22,6.92,5.36,
MEX2011,15600.50,16.25,34.41,177.58,0.13,15.05,0.43,0.03,5.93,14.18,0.93,18.64,0,38.81,6.16,5.58,9.76,1.5,11.64,4.31,23.22,2.02,18.23,2.14,32.62,6.02,4.37,7.07,
MEX2012,15951.06,11,14.25,172.8,0.12,13.12,0.38,0.03,8.53,22.57,1.42,14.22,1.83,22.75,14.46,4.27,9.95,1.32,10.72,4.58,25.03,1.4,17.77,2.1,30.81,6.92,4.18,7.22,
MEX2013,15955.76,10.04,20.68,196.56,0.1,9.58,0.31,0.03,2.69,20.55,4.04,16.83,0,34.69,13.13,3.03,5.05,1.29,10.3,5.13,20.4,1.42,19.37,4.07,30.92,7.1,4.68,6.91,0.84
MEX2014,16194.97,13.09,34.75,244.26,0.15,13.85,0.45,0.03,7.88,16.43,1.39,20.14,1.39,40.28,8.33,2.08,2.08,1.22,9.45,5.46,19.84,1.22,17.53,2.55,35.06,8.26,4.3,5.77,0.12
MEX2015,16521.13,9.47,18.08,262.46,0.12,9.36,0.32,,14.97,12.13,0,17.81,4.13,26.73,15.68,4.28,4.28,1.25,9.37,6.32,20.82,0.76,19.38,3.36,29.81,9.89,3.5,6.17,0.12
MEX2016,16800.44,10.2,19.89,240.87,0.13,9.66,0.35,0.03,2.37,23.75,1.58,11.61,0,38.79,7.65,7.92,6.33,0.98,8.63,5.39,17.84,1.12,19.27,1.78,36.2,8.49,3.36,6.56,0.13
NLD2008,46266.97,10.12,129.8,1026.52,1.42,9.42,24.57,2.62,11.98,29.46,4.08,16.43,4.45,22.88,4.21,3.66,2.84,0.23,10.16,9.48,27.01,1.72,10.06,0.29,36.78,6.03,3.74,4.89,2.58
NLD2009,44414.21,11.31,136,1105.84,1.5,11.81,28.47,2.93,13.19,25.37,3,15.63,3.4,27.47,4.61,3.06,4.27,0.24,10.93,13.46,32.98,0.26,8.97,0.26,30.34,6.07,2.64,5.01,1.98
NLD2010,44858.02,11.47,128.5,1030.86,1.23,11.86,26.49,2.62,11.7,30.04,1.73,15.41,3.25,25.16,7.78,2.36,2.58,0.23,12.2,12.31,25.88,0.75,11.06,0.25,32.16,9.55,4.52,3.52,1
NLD2011,45403.41,13.17,142.5,1103.64,1.34,11.65,30.17,3.54,15.87,23.46,2.02,23.34,3.97,19,7.16,3.4,1.78,0.23,12.86,15.08,23.9,0.7,11.6,0.93,28.07,10.21,4.64,4.87,2.25
NLD2012,44792.04,11.28,153.09,1120.08,1.25,10.98,28.53,2.77,15.05,20.7,2.55,22.28,5.46,21.15,6.95,2.28,3.57,0.18,11.55,10.26,22.87,0.59,12.02,0.59,35.48,9.38,2.93,5.87,1.13
NLD2013,44596.52,11.24,123.24,1117.24,1.11,9.33,24.57,2.42,15.5,21.91,2.77,19.2,3.05,23.65,7.25,1.91,4.75,0.18,12.32,14.69,23.45,1.29,10.57,10.82,26.29,6.7,2.06,4.12,0.99
NLD2014,45100.05,10.94,145,1120.14,1.13,8.96,23.97,2.65,19.69,22.71,2.8,12.98,3.19,29.15,4.12,1.43,3.93,0.16,10.59,11.69,27.92,1.3,12.99,1.62,31.82,4.22,3.57,4.87,1.33
NLD2015,45858.83,11.66,166.95,1159.23,1.27,9.19,25.19,2.33,12.77,17.67,2.77,13.22,3.13,36.39,7.69,2.22,4.15,0.16,10.59,8.07,25.47,1.55,11.18,1.86,36.02,5.9,4.04,5.9,0.63
NLD2016,46745.82,10.86,125.08,1087,1.26,8.71,23.73,2.3,17.17,21.41,1.94,16.03,2,28.78,5.27,3.58,3.83,0.16,10.25,11.44,20.92,0.65,14.38,,33.01,5.23,6.54,7.84,1.35
NOR2008,59972.33,14.29,37.1,191.1,0.43,14.88,25.97,1.24,2.42,35.35,4.44,11.42,4.57,26.39,5.11,7.62,2.69,0.53,9.23,1.84,21.1,2.21,20.86,2.09,36.81,5.28,4.17,5.64,4.98
NOR2009,58254.92,11.66,31.05,236.8,0.48,15.83,31.67,1.12,3.14,37.13,5.7,13.63,1.31,27.63,5.11,4.91,1.44,0.35,10.66,3.47,27.56,5.55,14.56,2.08,34.32,4.51,4.33,3.64,1.19
NOR2010,57955.02,13.24,24.12,212.52,0.39,15.07,28.61,0.89,3.84,33.21,3.37,18.4,0.75,26.72,5.17,4.57,3.97,0.13,10.83,3.4,32.34,3.83,13.19,,34.89,3.83,5.96,2.55,0.71
NOR2011,57785.20,12.3,29.26,225.36,0.35,14.42,26.36,0.9,4.59,37.55,4.99,11.08,3.68,27.8,5.41,2.75,2.15,0.11,10.33,3.23,31.8,4.15,9.68,,38.71,4.15,3.69,4.61,0.93
NOR2012,58573.29,11.77,43.45,268.4,0.31,13.49,23.93,0.82,8.74,27.26,5.46,13.66,3.9,28.86,2.73,7.2,2.19,0.09,10.12,4.3,19.35,5.38,12.9,,33.87,3.76,17.74,2.69,0.68
NOR2013,58413.00,10.43,29.25,301.98,0.26,10.35,19.33,0.65,3.24,19.35,5.73,9.94,0.43,44.87,9.73,4.43,2.27,0.07,7.41,1.75,18.71,4.09,8.19,,46.2,7.6,8.19,5.26,0.44
NOR2014,58835.93,6.55,13.12,244.14,0.21,8.89,14.7,0.49,0,35.24,1.93,10.46,5.55,24.14,11.59,8.69,2.41,0.07,9.23,1.33,24.67,4,10,0.67,32.67,9.33,11.33,6,0.56
NOR2015,59329.08,9.03,31.35,219.24,0.26,10.4,16.87,0.58,1.21,21.6,2.82,13.02,3.62,29.7,13.28,9.52,5.23,0.08,9,0.58,22.67,5.81,15.12,1.74,31.98,8.72,8.14,5.23,0.34
NOR2016,59381.13,10.23,21.42,197.12,0.25,8.26,14.95,0.47,8.14,19.66,1.84,11.98,0.92,25.81,20.28,10.44,0.92,0.11,9.15,3.26,16.3,5.43,8.7,4.35,30.98,11.41,6.52,13.04,0.29
NZL2008,30885.73,5.95,5.06,122.1,0.16,10.12,10.88,0.38,15.66,22.4,3.31,11.69,0.44,32.15,8.38,1.99,3.97,0.4,8.67,7.73,27.64,1.34,19.32,0.59,30.01,2.67,4.16,6.54,0.72
NZL2009,31149.71,8.93,13.05,112.56,0.21,13.99,15.4,0.52,4.8,24.4,0,13.74,0,27.78,20.72,2.03,6.53,0.48,10.41,6.33,34.83,2.07,18.12,0.22,23.25,5.35,4.59,5.24,1.56
NZL2010,31114.58,13.33,16.08,93.6,0.14,10.52,11.34,0.56,6.77,24.66,0,23.35,0,23.07,19.69,0,2.46,0.46,10.74,4.76,32.29,0.81,22.47,1.21,27.02,4.25,3.95,3.24,1.13
NZL2011,31600.67,9.18,13.14,137.2,0.16,13.22,13.81,0.68,11.47,23.1,0,17.88,0.15,14.31,21.46,2.68,8.94,0.41,11.32,5.04,26.71,1.78,19.98,0.69,30.66,5.24,2.47,7.42,1.87
NZL2012,32030.59,8.47,9.12,145.53,0.15,12.04,12.83,0.64,12.4,25.61,0,6.83,0.54,19.95,27.31,4.67,2.7,0.36,10.34,7.95,31.25,0.68,18.52,1.14,25.91,4.66,4.43,5.45,1.52
NZL2013,32314.32,11.35,19.11,151.7,0.14,9.29,11.38,0.55,8.07,21.97,0,6.5,5.38,18.83,37.9,1.35,0,0.27,9.57,4.52,32.3,0.9,17.83,0.78,28.94,2.71,1.94,10.08,1.29
NZL2014,33084.26,12.92,20.01,124.6,0.21,12.61,16.27,0.77,15.52,15.83,0.99,7.56,7.39,19.54,27.1,0.99,5.09,0.14,10.37,6.23,31.83,,14.19,1.04,30.1,4.84,5.88,5.88,1.66
NZL2015,34130.80,7.93,12.09,134.48,0.11,7.79,8.31,0.39,8.51,26.03,0,11.34,1.55,25.52,24.23,1.55,1.28,0.05,8.29,12.04,27.78,,9.26,1.85,35.19,11.11,0.93,1.85,0.94
NZL2016,35052.85,6.77,8.01,105.07,0.08,5.83,5.26,0.31,4.88,16.65,0,29.68,2.44,24.8,11.39,3.66,6.51,0.02,8.78,5.41,8.11,,16.22,,35.14,10.81,16.22,8.11,1.72
POL2008,19596.60,9.98,19.2,240.6,0.22,16.74,1.64,0.54,7.51,18.99,4.06,12.72,0.73,38.55,0.81,1.62,15.01,0.45,11.73,5.73,19.48,0.72,12.75,0.29,44.84,4.87,2.15,9.17,17.46
POL2009,20151.82,9.61,28.32,276.15,0.18,14.68,1.51,,7.01,13.67,3.24,14.57,4.5,43.16,2.16,2.7,8.99,0.46,11.28,4.88,23.17,0.81,9.76,0.68,46.48,4.88,2.71,6.64,0.21
POL2010,20890.73,10.34,36.48,330.9,0.14,10.96,1.34,,12.46,25.1,0,8.1,1.87,38.68,5.07,2.49,6.23,0.5,12.51,7.2,21.82,0.64,11.55,1.06,38.98,6.04,3.71,9,0.19
POL2011,21963.50,11.38,42.84,376.32,0.17,12.25,1.7,,10.26,31.08,1.67,14.82,0.83,28.1,7.49,1.11,4.65,0.55,11.91,7.27,22.24,0.96,8.32,0.44,42.82,6.57,1.93,9.46,0.45
POL2012,22351.55,12.08,55.05,394.81,0.31,16.61,3.14,0.47,4.17,15.27,2.09,14.92,1.08,44.45,8.61,0.93,8.49,0.63,12.86,5.63,19.07,1.13,11.54,0.35,43.77,5.77,1.55,11.19,0.73
POL2013,22703.64,11.56,49.56,428.82,0.24,13.35,2.33,0.32,12.45,29.06,0,13.19,0.73,32.97,6.1,1.47,4.03,0.6,11.67,7.27,23.81,0.61,10.95,0.23,40.28,5.97,2.22,8.65,1.23
POL2014,23498.28,10.68,48.45,423.22,0.28,13.87,2.66,0.31,9.87,12.38,0.58,17.9,0.87,43.25,6.1,0.77,8.27,0.48,10.98,4.69,21.29,1.03,12.1,0.38,43.25,7.32,1.69,8.26,0.49
POL2015,24436.94,11.06,30.48,379.06,0.33,13.25,2.88,0.32,10.31,16.46,1.15,12.98,2.29,31.1,12.12,2.91,10.69,0.45,11.58,6.04,17.4,1.25,7.5,0.21,48.85,6.15,1.25,11.35,0.61
POL2016,25215.09,10.42,36.24,347.64,0.21,9.91,1.77,,1.16,17.47,1.16,11.23,3.31,32.64,15.16,9.18,8.69,0.35,11.1,5.35,20.09,0.72,10.12,,44.8,4.77,3.47,10.69,0.46
SVK2008,25089.70,10.37,11.06,78.3,0.03,9.1,1.38,0.43,0,16.57,0,19.7,9.47,35.32,0,0,18.94,0.01,9.04,10.53,26.32,,5.26,,31.58,5.26,5.26,15.79,0.24
SVK2009,23721.37,11.29,6.02,73.16,0.03,11.94,1.57,0.48,3.7,22.22,0,7.41,0,51.85,0,0,14.81,0.02,14.29,,22.58,,3.23,,54.84,,6.45,12.9,0.34
SVK2010,24902.85,13.04,8.16,82.8,0.04,15.76,2.83,0.84,19.26,42.51,0,0.53,4.81,19.26,8.81,0,4.81,0.03,16.09,11.76,25.49,,3.92,,47.06,3.92,1.96,5.88,0.78
SVK2011,25582.91,20.62,18,77.6,0.06,20.44,4.08,0.83,18.46,15.04,9.57,7.69,0,30.99,10.04,0,8.21,0.03,19.62,12.07,20.69,1.72,5.17,,44.83,10.34,,5.17,0.13
SVK2012,25978.27,12.24,10.08,111.72,0.03,11.83,2.18,0.56,6.04,32.22,0,4.03,0,31.53,8.05,0,18.12,0.02,11.83,7.69,23.08,,7.69,,46.15,2.56,2.56,10.26,0.24
SVK2013,26332.27,9.48,7,111.83,0.04,10.86,2.6,0.63,4.31,53.83,0,1.99,3.99,21.93,3.99,5.98,3.99,0.02,16.16,1.85,44.44,,7.41,1.85,29.63,5.56,3.7,5.56,0.4
SVK2014,27021.22,10.28,17.16,154.33,0.04,13.13,2.79,0.56,7.18,11.1,0,13.06,7.85,21.58,13.73,5.88,19.62,0.01,10.81,9.38,25,,12.5,,31.25,6.25,,15.63,0.1
SVK2015,28114.07,11.76,17.1,140.25,0.06,17.69,3.92,0.68,0,51.35,0,9.08,0,18.71,4.81,0,16.05,0.02,16.11,,39.22,,7.84,,37.25,1.96,,13.73,4.88
SVK2016,28958.69,9.45,12,127,0.07,14.7,3.86,1.04,3.34,16.69,0,11.01,0,45.43,1.29,4.45,17.8,0.02,11.68,2.5,15,,7.5,,50,,5,20,0.29
SVN2008,30092.38,3.41,4.06,34.85,0.03,3.43,3.54,0.52,5.27,35.09,0,3.48,0,24.55,31.61,0,0,0.22,7.27,10.17,17.23,1.41,15.82,1.98,36.16,4.24,1.69,11.3,
SVN2009,27599.31,4.23,1.08,31.95,0.03,4.59,4.83,0.67,24.42,47.66,0,0,0,20.94,6.98,0,0,0.18,6.76,4.84,30.11,1.88,13.44,,33.87,3.49,3.76,8.6,
SVN2010,27810.56,6.64,5,72.24,0.03,5.68,5.63,0.64,26.67,35.56,0,8.89,0,17.78,11.11,0,0,0.19,8.31,13.35,24.8,,17.98,1.91,26.16,6.54,3.27,5.99,
SVN2011,27882.67,7.42,3.04,51.2,0.05,8.29,8.53,0.72,7.27,7.27,0,12.73,0,49.09,12.73,3.64,7.27,0.17,8.32,6.89,25.45,1.2,15.57,,35.03,1.8,1.5,12.57,
SVN2012,27052.13,10.8,3.22,36.21,0.05,9.81,9.56,1.09,8.45,23.25,0,10.57,0,39.43,9.85,4.23,4.23,0.18,11.04,6.74,23.83,0.78,18.13,,30.83,5.44,3.11,11.14,
SVN2013,26677.34,6.14,3.06,58.17,0.07,11.44,12.28,1.43,18.93,8.74,,8.74,0.96,32.04,10.2,17.48,2.91,0.13,10.42,13.25,16.89,1.99,14.57,1.66,31.13,6.95,2.98,10.6,
SVN2014,27406.32,7.47,8.05,80.08,0.06,10.3,9.55,1.12,12.6,9.45,,10.24,0,48.82,6.3,3.15,9.45,0.05,7.32,8.26,21.1,,11.93,,39.45,5.5,2.75,11.01,
SVN2015,27987.77,8.68,10.07,78.84,0.04,8.85,6.68,0.57,17.27,19.43,,14.38,0,35.97,12.95,0,0,0.02,5.74,20.93,20.93,,4.65,4.65,34.88,4.65,2.33,6.98,
SVN2016,28804.59,11.42,13,81.03,0.05,9.69,7.71,,30.43,4.35,,2.17,0,47.83,15.22,0,0,0.02,7.44,21.21,6.06,,6.06,,60.61,3.03,3.03,,
SWE2008,42114.51,9.47,73.92,1007.81,0.96,8.47,29.68,1.88,4.88,20.6,1.36,8.84,10.46,36.33,10.69,2.89,3.94,0.23,12.17,5.25,22.74,0.58,6.41,0.29,41.4,16.62,2.33,4.37,1.92
SWE2009,39998.39,11.97,74.1,944.82,0.96,10.39,32.44,1.56,6.5,25.45,1.33,7.49,5.37,28.44,21.17,2.05,2.2,0.23,13.85,7.73,24.8,0.27,5.6,,33.07,23.47,2.4,2.67,1.49
SWE2010,42125.25,12.9,128.52,1067.4,1,11.64,38.21,1.68,5.19,15.28,1.48,7.78,4.35,41.56,20.11,2.82,1.44,0.24,15.98,4.36,14,0.91,8.91,,43.09,24.36,3.09,1.27,0.74
SWE2011,43060.05,10.71,101.66,1205.16,0.91,11.38,36.42,1.46,3.2,15.79,1.42,8.46,7.64,37.22,18.7,2.8,4.75,0.18,14.99,3.24,20.2,0.75,5.99,0.25,40.9,20.45,2.24,5.99,1.15
SWE2012,42447.13,13,143.08,1179,0.98,11.6,39.2,1.51,5.95,12.85,1.58,9.88,10.42,32.68,21.77,2.2,2.68,0.19,15.41,4.24,13.62,1.56,9.38,0.89,39.73,25.67,1.79,3.13,1.27
SWE2013,42573.37,14.18,143.37,1160.64,1.05,13.38,40.89,1.77,4.78,12.66,1.28,7.4,9.77,36.58,22.96,2.28,2.3,0.21,17.44,4.88,15.85,0.2,4.47,8.13,39.43,22.36,2.03,2.64,1
SWE2014,43408.48,10.61,93.24,1213.07,1.13,14,41.7,1.75,5.87,12.99,0.62,10.55,10.15,33.33,20.91,3.29,2.28,0.22,17.95,8.23,14.07,0.43,8.66,0.87,39.18,23.16,2.6,2.81,0.8
SWE2015,44989.47,10.26,109.75,1155.33,1.07,12.35,36.85,1.75,6.15,11.59,0.34,10.98,7.76,37.03,21.36,2.83,1.96,0.18,14.9,7.02,14.29,,7.75,1.45,38.98,24.21,3.15,3.15,0.97
SWE2016,45742.23,11.15,87.36,783.16,1.1,11.62,35.75,,4.65,11.15,0.39,9.24,8.17,35.82,22.27,5.74,2.57,0.19,14.11,3.45,11.08,0.49,4.19,0.99,44.83,25.37,6.4,3.2,0.85
TUR2008,17312.33,7.08,14.06,150.36,0.13,7.41,0.53,0.31,13.68,40.71,0,5.1,6.8,23.45,6.84,1.47,1.95,0.07,5.1,9.28,29.9,,5.15,,42.27,4.12,4.12,5.15,4.27
TUR2009,16289.05,6.06,23.04,160.38,0.13,7.02,0.6,0.32,16.97,36.11,1.18,7.16,5.69,18.28,7.6,4.39,2.63,0.09,5.96,5,40,,11.67,0.83,26.67,4.17,4.17,7.5,4.12
TUR2010,17425.86,3.47,16.12,157.29,0.1,4.91,0.51,0.23,10.13,43.61,1.13,15.2,4.47,15.62,7.6,1.69,0.56,0.07,4.53,3.76,39.1,,12.03,,31.58,5.26,3.76,4.51,
TUR2011,19068.19,7.57,25.44,175,0.15,8.2,0.76,0.29,34.16,16.08,0,6.51,3.89,25.84,6.51,1.39,5.62,0.1,6.27,13.1,27.38,,10.71,0.6,39.88,2.98,2.98,2.38,
TUR2012,19658.26,6.23,17.01,131.43,0.11,5.67,0.59,0.25,12.87,30.7,1.64,11.23,6.97,22.89,3.29,0.54,9.87,0.05,6.7,9.57,25.53,1.06,6.38,,39.36,4.26,4.26,9.57,
TUR2013,20969.52,7,20.16,174.76,0.17,7.68,0.84,0.55,9.08,15.14,2.02,13.12,4.79,33.47,11.1,2.02,9.25,0.05,7.91,11.01,13.76,1.83,16.51,0.92,30.28,16.51,1.83,7.34,
TUR2014,21680.65,5.69,15.05,172.2,0.25,10.08,1.16,1.01,12.99,18,0.81,8.96,1.42,33.86,11.37,5.28,7.31,0.08,9.57,9.2,17.18,1.23,10.43,0.61,38.65,12.27,4.29,6.13,0.55
TUR2015,22619.32,4.54,12.24,134.82,0.27,8.86,1.15,0.34,13.38,17.83,0,9.69,2.31,29.82,13.76,8.61,4.61,0.08,7.53,13.28,21.09,,10.94,0.78,28.13,14.06,7.03,4.69,0.73
TUR2016,22959.84,5.18,17.16,153,0.27,7.61,1.09,,21.24,23.5,0,14.98,0.9,29.67,5.2,0,4.52,0.1,5.68,21.59,18.75,,11.36,2.27,32.95,6.82,1.7,4.55,0.2
USA2008,49418.28,7.78,1135.8,13869.24,25.56,11.3,24.09,2.79,5.84,25.22,1.53,12.68,4.39,27.47,16.37,3.73,2.78,28.83,8.21,6.36,21.37,1.12,13.1,7.05,28.2,17.08,3.03,2.69,4.57
USA2009,47720.98,8.84,1240.14,13383.51,24.53,12.31,25.26,1.77,6.31,26.79,1.59,12.73,4.39,26.51,15.59,3.6,2.48,27.45,9.12,6.85,24.97,1.15,13.19,6.48,25.5,16.08,3.23,2.54,1.03
USA2010,48516.17,9.64,1562.64,14852.64,23.36,12.48,27.1,2.64,6.42,26.53,1.57,13.11,4.78,25.69,15.86,3.43,2.61,27.87,9.76,7.3,25.62,1.19,13.33,7.04,23.76,16.26,3.03,2.48,1.8
USA2011,48861.79,9.54,1781,16430.48,22.96,12.02,27.83,3.04,6.95,24.59,1.58,12.33,5.87,24.87,16.86,3.89,3.07,27.91,10.01,7.64,25.33,1.03,12.65,7.26,22.45,18.34,2.74,2.57,1.81
USA2012,49569.63,9.27,1720.84,17713.5,24.75,12.25,30.18,3.38,6.11,22.13,1.34,11.91,7.99,23.71,19.53,4.25,3.03,27.23,9.83,7.34,23.72,1.02,12.4,9.12,21.81,19.09,3.01,2.48,1.26
USA2013,50106.73,8.61,1701.48,18854.43,26.9,11.29,31.76,3.55,6.08,19.32,1.15,12.41,8.42,24.86,20.35,4.86,2.53,26.11,9.37,7.43,22.32,0.97,12.57,9.54,22.22,19.28,3.34,2.33,1.82
USA2014,51006.00,8.19,1577.57,18425.88,24.3,10.61,27.24,2.94,6.58,17.64,1.34,13.52,8.65,24.46,20.68,4.54,2.59,24.92,9.14,7.46,19.88,1.04,12.94,9.4,23.15,20.3,3.5,2.34,1.5
USA2015,52128.59,8.38,1390.4,18251.42,24.27,10.05,25.43,2.2,6.62,17.18,1.66,13.43,7.61,25.31,19.95,5.24,3.01,24.92,8.91,7.47,19.17,1.03,13,9.45,23.84,19.88,3.72,2.47,1.33
USA2016,52631.75,8.4,1308.2,17134.04,24.08,9.43,23.85,1.94,6.41,15.37,1.16,12.04,8.2,25.72,23.34,4.99,2.76,23.72,8.5,7.23,18.25,0.87,12.63,9.27,25.2,20.24,3.86,2.44,0.94